,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,DA Warner,2014-2018,64,63,4,3056,179,51.79,2936,104.08,12,9,1,326,54
1,SPD Smith,2014-2018,74,71,8,3032,164,48.12,3519,86.16,8,19,3,260,27
2,AJ Finch,2014-2019,76,73,1,2672,135,37.11,3035,88.03,8,16,6,267,60
3,GJ Maxwell,2014-2019,66,58,4,1706,102,31.59,1413,120.73,1,10,7,180,47
4,GJ Bailey,2014-2016,51,48,4,1397,112,31.75,1843,75.80,1,10,2,97,21
5,MR Marsh,2014-2018,49,45,8,1389,102*,37.54,1479,93.91,1,11,4,115,37
6,TM Head,2016-2018,42,39,2,1273,128,34.40,1414,90.02,1,10,1,135,16
7,MS Wade,2014-2017,52,42,9,985,100*,29.84,1015,97.04,1,6,1,72,21
8,SE Marsh,2015-2019,18,18,0,869,131,48.27,933,93.14,4,3,0,71,15
9,MP Stoinis,2015-2019,24,24,5,807,146*,42.47,833,96.87,1,5,1,59,34
10,UT Khawaja,2016-2019,18,17,1,569,98,35.56,685,83.06,0,5,1,53,8
11,JP Faulkner,2014-2017,45,36,17,526,50*,27.68,556,94.60,0,1,4,49,8
12,SR Watson,2014-2015,17,17,3,501,82,35.78,538,93.12,0,3,1,46,11
13,BJ Haddin,2014-2015,21,17,5,369,49,30.75,360,102.50,0,0,0,34,12
14,PSP Handscomb,2017-2019,11,10,0,300,82,30.00,295,101.69,0,3,1,20,3
15,MJ Clarke,2014-2015,9,8,1,298,74,42.57,350,85.14,0,3,0,28,3
16,AT Carey,2018-2019,9,9,0,246,47,27.33,322,76.39,0,0,0,25,2
17,JW Hastings,2015-2017,18,12,7,189,51,37.80,195,96.92,0,1,0,20,7
18,PJ Hughes,2014-2014,5,5,0,166,85,33.20,215,77.20,0,2,0,17,1
19,MA Starc,2014-2018,56,31,12,158,29*,8.31,192,82.29,0,0,6,9,7
20,TD Paine,2018-2018,9,9,2,153,34,21.85,187,81.81,0,0,0,10,1
21,JA Burns,2015-2015,6,6,0,146,69,24.33,184,79.34,0,1,1,16,1
22,PJ Cummins,2014-2018,37,20,7,145,36,11.15,224,64.73,0,0,3,10,3
23,AC Agar,2015-2018,9,8,1,144,46,20.57,166,86.74,0,0,2,17,1
24,MG Johnson,2014-2015,17,12,5,122,27*,17.42,87,140.22,0,0,1,14,4
25,A Zampa,2016-2019,34,17,4,97,22,7.46,154,62.98,0,0,3,6,1
26,DJM Short,2018-2018,4,4,1,83,47*,27.66,99,83.83,0,0,1,7,1
27,CA Lynn,2017-2018,4,4,0,75,44,18.75,89,84.26,0,0,1,5,3
28,NM Coulter-Nile,2014-2018,15,10,3,71,34,10.14,93,76.34,0,0,2,7,1
29,NM Lyon,2014-2019,15,7,5,58,30,29.00,58,100.00,0,0,0,5,2
30,AJ Tye,2018-2018,7,7,3,57,19,14.25,48,118.75,0,0,0,5,2
31,MC Henriques,2015-2017,6,5,0,49,18,9.80,67,73.13,0,0,0,7,0
32,KW Richardson,2014-2018,17,7,3,45,19,11.25,52,86.53,0,0,1,2,3
33,JA Richardson,2018-2019,7,5,1,39,16,9.75,63,61.90,0,0,0,1,0
34,JR Hazlewood,2014-2018,42,13,11,37,11*,18.50,57,64.91,0,0,1,6,0
35,CL White,2015-2018,4,4,1,35,17,11.66,55,63.63,0,0,1,3,0
36,BCJ Cutting,2014-2014,1,1,0,26,26,26.00,22,118.18,0,0,0,2,1
37,CP Tremain,2016-2016,4,3,2,23,23*,23.00,37,62.16,0,0,1,2,1
38,PM Siddle,2019-2019,3,2,1,10,10*,10.00,12,83.33,0,0,1,1,0
39,SM Boland,2016-2016,14,4,1,9,4,3.00,22,40.90,0,0,1,0,0
40,MG Neser,2018-2018,2,2,0,8,6,4.00,16,50.00,0,0,0,0,0
41,DJ Worrall,2016-2016,3,1,1,6,6*,-,4,150.00,0,0,0,1,0
42,SD Heazlett,2017-2017,1,1,0,4,4,4.00,11,36.36,0,0,0,0,0
43,B Stanlake,2017-2019,7,5,2,4,2,1.33,28,14.28,0,0,1,0,0
44,SA Abbott,2014-2014,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0
45,HWR Cartwright,2017-2017,2,2,0,2,1,1.00,23,8.69,0,0,0,0,0
46,JL Pattinson,2015-2015,2,1,1,2,2*,-,8,25.00,0,0,0,0,0
47,JP Behrendorff,2019-2019,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
48,XJ Doherty,2014-2015,6,2,2,1,1*,-,2,50.00,0,0,0,0,0
49,JM Mennie,2016-2016,2,2,0,1,1,0.50,4,25.00,0,0,1,0,0
