,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,V Kohli,2014-2019,92,91,19,5088,160*,70.66,5291,96.16,21,19,3,455,67
1,RG Sharma,2014-2019,82,82,11,4489,264,63.22,4620,97.16,18,18,4,416,153
2,S Dhawan,2014-2019,88,88,5,3866,137,46.57,4108,94.10,10,22,2,482,53
3,AM Rahane,2014-2018,67,64,3,2449,111,40.14,3041,80.53,3,21,3,243,29
4,MS Dhoni,2014-2019,95,72,18,2369,134,43.87,2861,82.80,1,16,2,173,47
5,AT Rayudu,2014-2019,46,42,13,1503,124*,51.82,1823,82.44,3,9,3,130,28
6,SK Raina,2014-2018,37,32,3,1019,110*,35.13,974,104.62,2,7,3,85,30
7,KM Jadhav,2014-2019,54,35,12,1002,120,43.56,938,106.82,2,4,2,104,18
8,HH Pandya,2016-2019,45,29,4,731,83,29.24,627,116.58,0,4,2,48,36
9,RA Jadeja,2014-2019,50,32,13,523,87,27.52,561,93.22,0,2,0,38,7
10,KD Karthik,2014-2019,24,21,10,475,64*,43.18,643,73.87,0,2,2,41,3
11,MK Pandey,2015-2018,23,18,6,440,104*,36.66,479,91.85,1,2,2,37,4
12,Yuvraj Singh,2017-2017,11,10,1,372,150,41.33,377,98.67,1,1,0,46,7
13,B Kumar,2014-2019,72,31,10,341,53*,16.23,474,71.94,0,1,4,26,5
14,KL Rahul,2016-2018,13,12,3,317,100*,35.22,393,80.66,1,2,1,25,5
15,STR Binny,2014-2015,13,11,3,230,77,28.75,246,93.49,0,1,1,23,5
16,SS Iyer,2017-2018,6,5,0,210,88,42.00,218,96.33,0,2,0,22,3
17,AR Patel,2014-2017,38,20,6,181,38,12.92,190,95.26,0,0,3,8,8
18,RV Uthappa,2014-2015,8,8,1,148,50,21.14,176,84.09,0,1,1,13,3
19,R Ashwin,2014-2017,36,17,7,119,18,11.90,151,78.80,0,0,2,7,1
20,M Vijay,2015-2015,3,3,0,86,72,28.66,125,68.80,0,1,0,3,2
21,Mohammed Shami,2014-2019,34,16,8,79,25,9.87,79,100.00,0,0,2,7,4
22,Kuldeep Yadav,2017-2019,39,14,9,78,19,15.60,139,56.11,0,0,1,6,0
23,FY Fazal,2016-2016,1,1,1,55,55*,-,61,90.16,0,1,0,7,1
24,UT Yadav,2014-2018,47,14,6,52,18*,6.50,87,59.77,0,0,3,4,1
25,Harbhajan Singh,2015-2015,7,5,2,47,22,15.66,48,97.91,0,0,2,3,1
26,KK Nair,2016-2016,2,2,0,46,39,23.00,88,52.27,0,0,0,6,0
27,V Shankar,2019-2019,4,1,0,45,45,45.00,64,70.31,0,0,0,4,0
28,RR Pant,2018-2018,3,2,0,41,24,20.50,31,132.25,0,0,0,5,1
29,CA Pujara,2014-2014,3,3,0,38,27,12.66,102,37.25,0,0,1,2,0
30,WP Saha,2014-2014,6,4,2,37,16,18.50,51,72.54,0,0,0,5,0
31,MK Tiwary,2014-2015,4,4,0,36,22,9.00,79,45.56,0,0,0,0,1
32,YS Chahal,2016-2019,40,6,3,34,18*,11.33,66,51.51,0,0,0,5,0
33,MM Sharma,2014-2015,21,8,4,31,11,7.75,61,50.81,0,0,1,5,0
34,A Mishra,2014-2016,15,7,2,29,14,5.80,57,50.87,0,0,0,3,0
35,DS Kulkarni,2014-2016,12,2,2,27,25*,-,28,96.42,0,0,0,2,1
36,SN Thakur,2017-2018,5,2,1,22,22*,22.00,16,137.50,0,0,1,0,2
37,Shubman Gill,2019-2019,2,2,0,16,9,8.00,32,50.00,0,0,0,2,0
38,Gurkeerat Singh,2016-2016,3,3,1,13,8,6.50,13,100.00,0,0,0,2,0
39,DL Chahar,2018-2018,1,1,0,12,12,12.00,14,85.71,0,0,0,1,0
40,R Dhawan,2016-2016,3,2,1,12,9,12.00,13,92.30,0,0,0,1,0
41,JJ Bumrah,2016-2018,44,6,2,11,10*,2.75,34,32.35,0,0,3,2,0
42,KK Ahmed,2018-2019,8,3,1,9,5,4.50,17,52.94,0,0,0,1,0
43,S Kaul,2018-2018,3,2,0,1,1,0.50,3,33.33,0,0,1,0,0
44,J Yadav,2016-2016,1,1,1,1,1*,-,1,100.00,0,0,0,0,0
45,I Sharma,2014-2016,8,1,0,0,0,0.00,3,0.00,0,0,1,0,0
46,VR Aaron,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
47,Mohammed Siraj,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
48,Parvez Rasool,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
49,KV Sharma,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
