,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,B Kumar,2014-2019,72,71,564.5,36,2880,80,5/42,36.00,5.09,42.3,2,1
1,JJ Bumrah,2016-2018,44,44,368.4,26,1639,78,5/27,21.01,4.44,28.3,4,1
2,Kuldeep Yadav,2017-2019,39,37,333.0,10,1590,77,6/25,20.64,4.77,25.9,4,1
3,UT Yadav,2014-2018,47,45,377.4,14,2257,76,4/31,29.69,5.97,29.8,4,0
4,YS Chahal,2016-2019,40,39,352.1,12,1692,71,6/42,23.83,4.80,29.7,1,2
5,Mohammed Shami,2014-2019,34,33,288.2,15,1520,67,4/35,22.68,5.27,25.8,5,0
6,RA Jadeja,2014-2019,50,49,449.2,9,2303,58,4/28,39.70,5.12,46.4,4,0
7,R Ashwin,2014-2017,36,35,332.3,18,1615,53,4/25,30.47,4.85,37.6,1,0
8,AR Patel,2014-2017,38,35,318.0,13,1409,45,3/34,31.31,4.43,42.4,0,0
9,HH Pandya,2016-2019,45,44,315.4,4,1748,44,3/31,39.72,5.53,43.0,0,0
10,A Mishra,2014-2016,15,14,134.5,6,649,27,5/18,24.03,4.81,29.9,0,1
11,MM Sharma,2014-2015,21,20,147.2,9,792,27,4/22,29.33,5.37,32.7,1,0
12,KM Jadhav,2014-2019,54,31,158.5,1,789,25,3/23,31.56,4.96,38.1,0,0
13,STR Binny,2014-2015,13,11,80.4,4,431,20,6/4,21.55,5.34,24.2,0,1
14,DS Kulkarni,2014-2016,12,12,99.4,5,508,19,4/34,26.73,5.09,31.4,1,0
15,I Sharma,2014-2016,8,7,62.0,2,356,13,4/34,27.38,5.74,28.6,2,0
16,KK Ahmed,2018-2019,8,8,63.0,2,338,11,3/13,30.72,5.36,34.3,0,0
17,SK Raina,2014-2018,37,25,100.0,2,520,11,3/45,47.27,5.20,54.5,0,0
18,Harbhajan Singh,2015-2015,7,7,70.0,0,322,10,2/35,32.20,4.60,42.0,0,0
19,BB Sran,2016-2016,6,6,50.2,2,269,7,3/56,38.42,5.34,43.1,0,0
20,SN Thakur,2017-2018,5,5,35.5,0,218,6,4/52,36.33,6.08,35.8,1,0
21,AT Rayudu,2014-2019,46,8,17.1,1,101,3,1/5,33.66,5.88,34.3,0,0
22,Parvez Rasool,2014-2014,1,1,10.0,0,60,2,2/60,30.00,6.00,30.0,0,0
23,VR Aaron,2014-2014,2,2,12.0,0,100,1,1/74,100.00,8.33,72.0,0,0
24,DL Chahar,2018-2018,1,1,4.0,0,37,1,1/37,37.00,9.25,24.0,0,0
25,R Dhawan,2016-2016,3,3,25.0,0,160,1,1/74,160.00,6.40,150.0,0,0
26,M Vijay,2015-2015,3,2,6.0,0,37,1,1/19,37.00,6.16,36.0,0,0
27,Washington Sundar,2017-2017,1,1,10.0,0,65,1,1/65,65.00,6.50,60.0,0,0
28,J Yadav,2016-2016,1,1,4.0,0,8,1,1/8,8.00,2.00,24.0,0,0
29,Gurkeerat Singh,2016-2016,3,3,10.0,0,68,0,-,-,6.80,-,0,0
30,SS Iyer,2017-2018,6,1,1.0,0,2,0,-,-,2.00,-,0,0
31,S Kaul,2018-2018,3,3,27.0,0,179,0,-,-,6.62,-,0,0
32,V Kohli,2014-2019,92,12,18.2,0,129,0,-,-,7.03,-,0,0
33,Mohammed Siraj,2019-2019,1,1,10.0,0,76,0,-,-,7.60,-,0,0
34,V Shankar,2019-2019,4,4,16.0,0,78,0,-,-,4.87,-,0,0
35,KV Sharma,2014-2014,2,2,19.0,1,125,0,-,-,6.57,-,0,0
36,RG Sharma,2014-2019,82,3,9.0,0,61,0,-,-,6.77,-,0,0
37,MK Tiwary,2014-2015,4,1,1.0,0,6,0,-,-,6.00,-,0,0
38,RV Uthappa,2014-2015,8,1,0.2,0,0,0,-,-,0.00,-,0,0
39,Yuvraj Singh,2017-2017,11,3,10.0,0,56,0,-,-,5.60,-,0,0
40,S Dhawan,2014-2019,88,-,-,-,-,-,-,-,-,-,-,-
41,MS Dhoni,2014-2019,95,-,-,-,-,-,-,-,-,-,-,-
42,FY Fazal,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-
43,KD Karthik,2014-2019,24,-,-,-,-,-,-,-,-,-,-,-
44,KK Nair,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-
45,MK Pandey,2015-2018,23,-,-,-,-,-,-,-,-,-,-,-
46,RR Pant,2018-2018,3,-,-,-,-,-,-,-,-,-,-,-
47,CA Pujara,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-
48,AM Rahane,2014-2018,67,-,-,-,-,-,-,-,-,-,-,-
49,KL Rahul,2016-2018,13,-,-,-,-,-,-,-,-,-,-,-
