,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,AJ Finch,2015-2019,14,13,0,666,124,51.23,782,85.16,2,4,0,62,14
1,SPD Smith,2015-2017,13,12,0,609,149,50.75,620,98.22,2,3,0,58,7
2,DA Warner,2015-2017,11,10,0,501,124,50.10,506,99.01,2,2,0,49,10
3,SE Marsh,2016-2019,6,6,0,364,131,60.66,418,87.08,1,3,0,29,3
4,GJ Maxwell,2015-2019,13,12,2,355,96,35.50,281,126.33,0,1,0,34,13
5,MP Stoinis,2017-2019,8,8,4,239,62*,59.75,274,87.22,0,1,0,18,8
6,GJ Bailey,2015-2016,7,6,1,232,112,46.40,231,100.43,1,1,0,16,3
7,PSP Handscomb,2017-2019,6,6,0,210,73,35.00,200,105.00,0,2,0,13,3
8,MR Marsh,2015-2016,5,4,2,164,102*,82.00,153,107.18,1,0,0,15,2
9,TM Head,2017-2017,5,5,0,119,42,23.80,148,80.40,0,0,0,10,1
10,UT Khawaja,2019-2019,3,3,0,114,59,38.00,155,73.54,0,1,0,11,0
11,JP Faulkner,2015-2017,10,8,4,97,32*,24.25,93,104.30,0,0,1,7,2
12,MS Wade,2016-2017,9,7,1,76,36,12.66,78,97.43,0,0,1,3,2
13,SR Watson,2015-2015,2,2,0,69,41,34.50,69,100.00,0,0,0,7,2
14,AT Carey,2019-2019,3,3,0,47,24,15.66,69,68.11,0,0,0,8,0
15,MG Johnson,2015-2015,1,1,1,27,27*,-,9,300.00,0,0,0,4,1
16,BJ Haddin,2015-2015,3,2,2,20,13*,-,18,111.11,0,0,0,2,0
17,JA Richardson,2019-2019,3,2,0,18,16,9.00,29,62.06,0,0,0,1,0
18,A Zampa,2017-2019,4,2,1,13,8,13.00,18,72.22,0,0,0,0,0
19,NM Lyon,2016-2019,4,1,1,12,12*,-,5,240.00,0,0,0,1,1
20,PJ Cummins,2015-2017,6,3,1,11,9,5.50,10,110.00,0,0,1,1,0
21,MJ Clarke,2015-2015,1,1,0,10,10,10.00,12,83.33,0,0,0,1,0
22,NM Coulter-Nile,2017-2017,5,3,0,10,8,3.33,26,38.46,0,0,1,0,0
23,PM Siddle,2019-2019,3,2,1,10,10*,10.00,12,83.33,0,0,1,1,0
24,AC Agar,2017-2017,2,2,1,9,9*,9.00,7,128.57,0,0,1,1,0
25,HWR Cartwright,2017-2017,2,2,0,2,1,1.00,23,8.69,0,0,0,0,0
26,JW Hastings,2016-2016,4,3,3,2,2*,-,3,66.66,0,0,0,0,0
27,JP Behrendorff,2019-2019,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
28,KW Richardson,2016-2017,6,1,0,0,0,0.00,7,0.00,0,0,1,0,0
29,B Stanlake,2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
30,SM Boland,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,-
31,XJ Doherty,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
32,JR Hazlewood,2015-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
33,JS Paris,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
34,GS Sandhu,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
35,MA Starc,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-
