,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,KW Richardson,2016-2017,6,6,56.5,2,335,13,5/68,25.76,5.89,26.2,0,1
1,NM Coulter-Nile,2017-2017,5,5,49.0,0,251,10,3/44,25.10,5.12,29.4,0,0
2,JP Faulkner,2015-2017,10,10,82.5,2,517,10,3/59,51.70,6.24,49.7,0,0
3,JW Hastings,2016-2016,4,4,38.0,1,215,10,4/58,21.50,5.65,22.8,1,0
4,MA Starc,2015-2015,3,3,22.5,2,82,9,6/43,9.11,3.59,15.2,0,1
5,JA Richardson,2019-2019,3,3,30.0,3,112,6,4/26,18.66,3.73,30.0,1,0
6,MP Stoinis,2017-2019,8,8,64.1,0,387,6,2/54,64.50,6.03,64.1,0,0
7,PJ Cummins,2015-2017,6,6,57.0,3,272,4,2/54,68.00,4.77,85.5,0,0
8,MR Marsh,2015-2016,5,5,33.0,0,218,4,2/55,54.50,6.60,49.5,0,0
9,A Zampa,2017-2019,4,4,37.0,0,222,4,2/59,55.50,6.00,55.5,0,0
10,JP Behrendorff,2019-2019,2,2,18.2,3,91,3,2/39,30.33,4.96,36.6,0,0
11,AC Agar,2017-2017,2,2,19.0,0,125,2,1/54,62.50,6.57,57.0,0,0
12,JR Hazlewood,2015-2016,3,3,25.0,1,107,2,1/41,53.50,4.28,75.0,0,0
13,MG Johnson,2015-2015,1,1,10.0,0,50,2,2/50,25.00,5.00,30.0,0,0
14,PM Siddle,2019-2019,3,3,25.0,1,162,2,1/48,81.00,6.48,75.0,0,0
15,SM Boland,2016-2016,4,4,39.0,0,259,1,1/64,259.00,6.64,234.0,0,0
16,NM Lyon,2016-2019,4,4,38.0,1,243,1,1/76,243.00,6.39,228.0,0,0
17,GJ Maxwell,2015-2019,13,10,34.0,0,186,1,1/16,186.00,5.47,204.0,0,0
18,JS Paris,2016-2016,2,2,16.0,0,93,1,1/40,93.00,5.81,96.0,0,0
19,GS Sandhu,2015-2015,1,1,10.0,0,58,1,1/58,58.00,5.80,60.0,0,0
20,XJ Doherty,2015-2015,1,1,3.0,0,10,0,-,-,3.33,-,0,0
21,AJ Finch,2015-2019,14,2,3.1,0,18,0,-,-,5.68,-,0,0
22,TM Head,2017-2017,5,3,14.0,0,87,0,-,-,6.21,-,0,0
23,SPD Smith,2015-2017,13,2,4.0,0,36,0,-,-,9.00,-,0,0
24,B Stanlake,2019-2019,1,1,10.0,0,49,0,-,-,4.90,-,0,0
25,SR Watson,2015-2015,2,2,12.0,0,62,0,-,-,5.16,-,0,0
26,GJ Bailey,2015-2016,7,-,-,-,-,-,-,-,-,-,-,-
27,AT Carey,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
28,HWR Cartwright,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-
29,MJ Clarke,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
30,BJ Haddin,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-
31,PSP Handscomb,2017-2019,6,-,-,-,-,-,-,-,-,-,-,-
32,UT Khawaja,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
33,SE Marsh,2016-2019,6,-,-,-,-,-,-,-,-,-,-,-
34,MS Wade,2016-2017,9,-,-,-,-,-,-,-,-,-,-,-
35,DA Warner,2015-2017,11,-,-,-,-,-,-,-,-,-,-,-
