Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date,
India,lost,4 wickets,6,won,1st,,v Australia,Melbourne,18 Jan 2015,
India,n/r,-,,lost,1st,,v Australia,Sydney,26 Jan 2015,
India,lost,95 runs,,lost,2nd,,v Australia,Sydney,26 Mar 2015,
India,lost,5 wickets,4,won,1st,,v Australia,Perth,12 Jan 2016,
India,lost,7 wickets,6,won,1st,,v Australia,Brisbane,15 Jan 2016,
India,lost,3 wickets,7,lost,1st,,v Australia,Melbourne,17 Jan 2016,
India,lost,25 runs,,lost,2nd,,v Australia,Canberra,20 Jan 2016,
India,won,6 wickets,2,won,2nd,,v Australia,Sydney,23 Jan 2016,
India,won,26 runs,,won,1st,,v Australia,Chennai,17 Sep 2017,
India,won,50 runs,,won,1st,,v Australia,Kolkata,21 Sep 2017,
India,won,5 wickets,13,lost,2nd,,v Australia,Indore,24 Sep 2017,
India,lost,21 runs,,lost,2nd,,v Australia,Bengaluru,28 Sep 2017,
India,won,7 wickets,43,lost,2nd,,v Australia,Nagpur,1 Oct 2017,
India,lost,34 runs,,lost,2nd,,v Australia,Sydney,12 Jan 2019,
India,won,6 wickets,4,lost,2nd,,v Australia,Adelaide,15 Jan 2019,
India,won,7 wickets,4,won,2nd,,v Australia,Melbourne,18 Jan 2019,
