,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,RG Sharma,2012-2019,24,24,3,1639,209,78.04,1622,101.04,7,4,1,128,66
1,V Kohli,2009-2019,30,29,3,1335,118,51.34,1430,93.35,6,5,2,118,15
2,MS Dhoni,2009-2019,34,30,7,1143,139*,49.69,1379,82.88,2,8,2,73,24
3,S Dhawan,2010-2019,18,18,1,681,126,40.05,699,97.42,2,4,2,83,6
4,SK Raina,2009-2015,21,18,3,497,71*,33.13,512,97.07,0,4,1,41,10
5,AM Rahane,2015-2017,12,11,1,469,89,46.90,573,81.84,0,6,0,45,3
6,SR Tendulkar,2009-2012,10,10,0,347,175,34.70,411,84.42,1,1,0,41,4
7,G Gambhir,2009-2012,10,10,0,333,92,33.30,431,77.26,0,4,1,26,1
8,Yuvraj Singh,2009-2013,13,11,1,262,78,26.20,344,76.16,0,3,2,25,5
9,RA Jadeja,2009-2019,26,17,4,231,57,17.76,333,69.36,0,1,0,17,0
10,HH Pandya,2017-2017,5,4,0,222,83,55.50,204,108.82,0,2,0,13,12
11,KM Jadhav,2017-2019,6,6,2,199,67,49.75,216,92.12,0,2,0,22,2
12,MK Pandey,2016-2017,8,7,3,193,104*,48.25,169,114.20,1,0,1,20,2
13,V Sehwag,2009-2012,9,9,0,178,40,19.77,174,102.29,0,0,0,28,3
14,P Kumar,2009-2012,9,7,2,136,54*,27.20,133,102.25,0,1,0,17,3
15,B Kumar,2013-2019,15,7,2,111,32*,22.20,138,80.43,0,0,1,12,0
16,R Ashwin,2010-2016,15,8,2,85,28,14.16,122,69.67,0,0,0,5,0
17,Harbhajan Singh,2009-2011,7,5,1,81,49,20.25,61,132.78,0,0,2,9,4
18,AT Rayudu,2015-2019,3,3,0,47,24,15.66,62,75.80,0,0,1,4,1
19,IK Pathan,2012-2012,2,2,0,41,22,20.50,49,83.67,0,0,0,2,3
20,KD Karthik,2019-2019,3,2,1,37,25*,37.00,35,105.71,0,0,0,2,0
21,R Vinay Kumar,2010-2013,9,4,1,29,12*,9.66,47,61.70,0,0,1,2,0
22,M Vijay,2010-2010,1,1,0,15,15,15.00,18,83.33,0,0,0,3,0
23,A Nehra,2009-2010,7,4,1,14,7,4.66,24,58.33,0,0,0,1,0
24,Gurkeerat Singh,2016-2016,3,3,1,13,8,6.50,13,100.00,0,0,0,2,0
25,R Dhawan,2016-2016,3,2,1,12,9,12.00,13,92.30,0,0,0,1,0
26,SS Tiwary,2010-2010,1,1,1,12,12*,-,17,70.58,0,0,0,2,0
27,JJ Bumrah,2016-2017,5,1,1,10,10*,-,6,166.66,0,0,0,2,0
28,Mohammed Shami,2013-2019,10,4,3,10,6*,10.00,12,83.33,0,0,0,1,0
29,UT Yadav,2012-2017,11,6,4,10,6*,5.00,27,37.03,0,0,1,1,0
30,Z Khan,2011-2012,3,1,0,9,9,9.00,11,81.81,0,0,0,2,0
31,AR Patel,2015-2017,4,2,0,5,5,2.50,8,62.50,0,0,1,0,0
32,I Sharma,2009-2016,12,4,3,4,3*,4.00,14,28.57,0,0,1,0,0
33,Kuldeep Yadav,2017-2019,6,3,1,3,3,1.50,8,37.50,0,0,1,0,0
34,MM Patel,2009-2011,3,2,1,2,2*,2.00,5,40.00,0,0,1,0,0
35,YS Chahal,2017-2019,5,1,0,1,1,1.00,2,50.00,0,0,0,0,0
36,R Sharma,2012-2012,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
37,MM Sharma,2015-2015,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
38,KK Ahmed,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
39,STR Binny,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
40,A Mishra,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
41,Mohammed Siraj,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
42,V Shankar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
43,BB Sran,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
44,JD Unadkat,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
