,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,UT Yadav,2015-2017,8,8,76.5,2,543,17,4/71,31.94,7.06,27.1,2,0
1,B Kumar,2015-2019,10,10,83.0,3,420,14,4/45,30.00,5.06,35.5,1,0
2,YS Chahal,2017-2019,5,5,43.0,1,214,12,6/42,17.83,4.97,21.5,0,1
3,Kuldeep Yadav,2017-2019,6,6,54.0,2,330,9,3/54,36.66,6.11,36.0,0,0
4,I Sharma,2015-2016,5,4,40.0,0,250,9,4/77,27.77,6.25,26.6,1,0
5,JJ Bumrah,2016-2017,5,5,41.0,3,202,7,2/40,28.85,4.92,35.1,0,0
6,Mohammed Shami,2015-2019,7,6,57.5,1,325,6,3/58,54.16,5.61,57.8,0,0
7,HH Pandya,2017-2017,5,5,31.0,0,188,6,2/28,31.33,6.06,31.0,0,0
8,RA Jadeja,2015-2019,10,9,87.0,1,463,5,2/49,92.60,5.32,104.4,0,0
9,R Ashwin,2015-2016,4,4,38.0,0,224,4,2/68,56.00,5.89,57.0,0,0
10,AR Patel,2015-2017,4,3,30.0,0,149,4,3/38,37.25,4.96,45.0,0,0
11,BB Sran,2016-2016,3,3,26.2,1,170,3,3/56,56.66,6.45,52.6,0,0
12,KM Jadhav,2017-2019,6,3,23.0,0,121,2,1/38,60.50,5.26,69.0,0,0
13,MM Sharma,2015-2015,1,1,10.0,0,75,2,2/75,37.50,7.50,30.0,0,0
14,R Dhawan,2016-2016,3,3,25.0,0,160,1,1/74,160.00,6.40,150.0,0,0
15,KK Ahmed,2019-2019,1,1,8.0,0,55,0,-,-,6.87,-,0,0
16,Gurkeerat Singh,2016-2016,3,3,10.0,0,68,0,-,-,6.80,-,0,0
17,V Kohli,2015-2019,16,3,4.0,0,27,0,-,-,6.75,-,0,0
18,Mohammed Siraj,2019-2019,1,1,10.0,0,76,0,-,-,7.60,-,0,0
19,SK Raina,2015-2015,3,1,2.0,0,24,0,-,-,12.00,-,0,0
20,AT Rayudu,2015-2019,3,1,2.0,0,13,0,-,-,6.50,-,0,0
21,V Shankar,2019-2019,1,1,6.0,0,23,0,-,-,3.83,-,0,0
22,RG Sharma,2015-2019,15,1,1.0,0,11,0,-,-,11.00,-,0,0
23,STR Binny,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
24,S Dhawan,2015-2019,11,-,-,-,-,-,-,-,-,-,-,-
25,MS Dhoni,2015-2019,16,-,-,-,-,-,-,-,-,-,-,-
26,KD Karthik,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-
27,MK Pandey,2016-2017,8,-,-,-,-,-,-,-,-,-,-,-
28,AM Rahane,2015-2017,12,-,-,-,-,-,-,-,-,-,-,-
